,Cities,Lat,Lon,Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
178,shieli,44.17,66.75,54.9,40,0,11.18
179,jurm,36.86,70.83,54.32,41,0,0.63
180,liverpool,53.41,-2.98,55.94,82,72,5.82
182,port macquarie,-31.43,152.92,64.51,83,71,8.99
184,moussoro,13.64,16.49,79.97,64,86,14.38
185,beringovskiy,63.05,179.32,48.7,81,100,8.79
186,muros,42.78,-9.06,66,74,5,11.01
187,beloha,-25.17,45.05,61.38,77,0,12.44
188,padang,-0.95,100.35,77.18,71,96,4.16
189,la romana,18.43,-68.97,82.4,78,75,5.82
190,sovetskaya gavan,48.97,140.29,68.04,77,100,0.92
191,nanortalik,60.14,-45.24,47.64,94,100,9.66
192,frontera,18.58,-92.65,84.2,83,40,10.78
193,borogontsy,62.67,131.17,57.72,67,22,4.7
194,paramonga,-10.67,-77.83,60.37,85,31,7.16
195,barrow,71.29,-156.79,41,80,90,6.93
196,galveston,29.3,-94.8,87.89,62,1,9.17
197,sorland,67.67,12.69,52.84,86,100,14.05
198,samoded,63.61,40.51,55.15,97,100,7.2
199,berlevag,70.86,29.09,54.07,88,89,8.01
200,rudbar,30.15,62.6,69.57,28,0,8.03
201,katsuura,35.13,140.3,79.29,88,75,4.7
202,port lavaca,28.61,-96.63,88.16,70,1,14.99
203,byron bay,-28.65,153.62,64.26,88,90,8.05
204,ribeira grande,38.52,-28.7,70.09,74,31,22.03
205,coolum beach,-26.53,153.1,72.01,74,65,4
206,maniitsoq,65.42,-52.9,44.33,96,100,4.07
207,taiobeiras,-15.81,-42.23,63.28,72,42,6.35
208,senekal,-28.32,27.62,57.2,65,7,22.48
209,cockburn town,21.46,-71.14,82.4,78,40,11.41
210,nevel,56.02,29.93,56.55,96,73,6.71
211,aasiaat,68.71,-52.87,39.33,77,100,11.21
213,alta floresta,-9.88,-56.09,81.19,25,15,2.24
214,caraquet,47.79,-64.94,60.42,63,1,4.7
215,nikolayevsk-na-amure,53.14,140.73,70.14,72,92,1.39
216,los llanos de aridane,28.66,-17.92,67.6,68,0,4.7
217,daman,20.42,72.85,81.59,83,98,2.98
218,chuy,-33.7,-53.46,49.95,81,94,9.57
219,iqaluit,63.75,-68.51,51.8,53,20,10.29
220,bulaevo,54.91,70.44,39.88,91,69,7.92
221,cabo san lucas,22.89,-109.91,90.34,62,20,4.7
222,tarko-sale,64.92,77.78,46,86,99,18.01
223,chengde,40.97,117.94,66.38,66,74,2.35
224,saldanha,-33.01,17.94,51.8,87,25,3.36
225,barabai,-2.58,115.38,78.46,82,49,0.98
226,thompson,55.74,-97.86,60.8,48,75,3.36
227,caravelas,-17.71,-39.25,72.37,85,0,6.98
228,shache,38.42,77.24,68.41,25,97,6.38
229,quesnel,53.0,-122.5,73.4,49,90,3.36
230,puntarenas,9.98,-84.84,71.6,94,75,9.17
231,rio gallegos,-51.62,-69.22,42.8,70,20,3.36
232,canela,-29.37,-50.82,55,88,67,5.01
233,salinas,36.68,-121.66,82.22,39,1,12.75
234,kuryk,43.2,51.65,75,35,93,11.36
235,pailon,-17.65,-62.75,82.4,65,28,6.93
237,yenagoa,4.92,6.26,74.35,91,99,3.76
238,sernur,56.93,49.15,49.23,83,99,6.24
239,norman wells,65.28,-126.83,57.2,44,40,4.7
240,zharkent,44.16,80,64.08,38,43,3.58
241,luanda,-8.84,13.23,69.8,88,75,4.7
242,hami,42.8,93.45,70.23,29,0,12.41
243,kungurtug,50.6,97.52,40.93,79,62,0.89
244,yaqui,27.37,-110.17,104,23,20,11.41
245,weiden,49.68,12.16,58.01,100,90,1.72
246,sakaiminato,35.55,133.23,78.8,88,75,2.24
247,chokurdakh,70.63,147.92,47.53,53,100,10.51
249,sangmelima,2.93,11.98,65.93,98,98,3.38
251,mar del plata,-38.0,-57.56,45.16,75,20,8.05
253,bowen,-20.02,148.23,73.4,73,90,6.93
254,tapa,59.26,25.96,53.87,100,75,9.17
255,ucluelet,48.93,-125.55,64.15,77,90,6.93
256,payakumbuh,-0.22,100.63,68.83,83,99,2.82
257,cherdyn,60.4,56.48,44.76,96,53,2.95
258,karratha,-20.74,116.85,74.7,44,55,1.95
259,manacapuru,-3.3,-60.62,84.2,58,25,2.24
260,hadejia,12.45,10.04,77.99,75,35,10.74
261,lima,-12.04,-77.03,60.8,77,90,11.41
262,lanzhou,36.06,103.79,55.99,76,84,3.27
263,mehamn,71.04,27.85,54.27,88,88,4.92
264,tura,25.52,90.22,75.22,91,94,5.82
265,makakilo city,21.35,-158.09,87.96,40,1,11.41
266,barra patuca,15.8,-84.28,82.17,80,78,11.23
267,sisimiut,66.94,-53.67,41.58,86,100,11.45
268,klaksvik,62.23,-6.59,44.6,87,92,20.8
269,sosnovo-ozerskoye,52.52,111.54,53.17,85,100,1.34
270,zinder,13.81,8.99,84.88,53,1,9.86
271,tezu,27.92,96.17,75.07,84,100,2.42
272,polunochnoye,60.87,60.42,43.93,92,26,4.25
273,touros,-5.2,-35.46,75.2,73,75,8.05
274,boyabat,41.47,34.77,60.48,78,31,2.24
275,shelburne,44.08,-80.2,63.99,52,40,5.82
276,ikalamavony,-21.15,46.58,55.72,74,27,8.57
277,ostersund,63.18,14.64,48.2,93,98,8.05
278,socorro,31.65,-106.3,90.54,22,5,17.22
279,kargat,55.2,80.28,42.31,97,98,10.07
280,korla,41.76,86.15,71.01,52,0,1.99
282,araouane,18.9,-3.53,97.59,29,63,6.06
283,acarau,-2.89,-40.12,78.33,73,37,19.57
285,eyl,7.98,49.82,76.87,74,59,23.15
286,parrita,9.52,-84.32,70.66,88,75,8.05
287,lagoa,39.05,-27.98,68.43,75,52,21.65
288,barkhan,29.9,69.53,76.26,55,12,1.63
291,the valley,18.22,-63.06,83.07,74,20,10.29
292,plouzane,48.38,-4.62,52.34,100,40,3.36
293,adrar,27.87,-0.29,84.2,28,0,10.29
294,berdigestyakh,62.1,126.7,52.9,90,95,2.91
295,songea,-10.68,35.65,54.9,69,0,2.64
296,dinahican,14.72,121.72,84.54,69,80,2.62
297,doha,25.29,51.53,88.88,79,0,2.24
298,palana,59.12,159.97,51.4,59,18,2.3
299,mahibadhoo,3.78,72.97,78.6,78,100,38.52
300,south sioux city,42.47,-96.41,89.35,46,1,10.29
301,foumban,5.73,10.9,62.49,100,95,2.53
302,kholmogory,64.22,41.66,57.2,93,90,4.47
303,kualakapuas,-3.01,114.39,73.4,100,10,2.24
304,praia da vitoria,38.73,-27.07,68.45,82,40,19.35
305,thunder bay,48.4,-89.32,66.6,40,40,9.17
306,luena,-11.78,19.92,60.35,33,44,5.1
307,valdivia,-39.81,-73.25,46.4,87,3,1.12
308,banjar,-8.19,114.97,78.8,100,75,4.7
309,paita,-5.09,-81.11,61.79,84,52,16.37
310,bronnoysund,65.46,12.2,51.4,93,100,4.7
311,okakarara,-20.58,17.43,55.78,36,0,2.13
312,takoradi,4.88,-1.76,74.79,87,99,10.4
313,sao filipe,14.9,-24.5,79.65,84,78,8.25
315,margate,51.38,1.39,56.34,72,8,1.99
316,bhairab bazar,24.07,90.97,84.2,70,40,8.05
317,laguna,38.42,-121.42,101.26,21,1,3.36
318,lavrentiya,65.58,-171,43.77,75,96,3.53
319,ismailia,30.6,32.27,73.81,86,0,6.4
320,nantucket,41.28,-70.1,66.2,63,1,9.17
321,geraldton,-28.77,114.6,55.4,93,90,8.05
322,westport,41.14,-73.36,71.96,41,1,8.05
323,gushikawa,26.35,127.87,78.8,88,20,21.92
324,san quintin,30.48,-115.95,86.77,40,0,8.52
325,pangkalanbuun,-2.68,111.62,78.53,83,69,3.2
326,codrington,-38.27,141.97,54.25,74,26,11.36
327,sitka,57.05,-135.33,57.2,71,75,6.93
328,ayaviri,-14.89,-70.59,49.93,51,74,2.66
329,silopi,37.25,42.47,79.29,18,0,2.01
333,ranavav,21.68,69.74,80.24,84,100,6.31
334,namibe,-15.2,12.15,65.14,80,35,11.81
336,neuquen,-38.95,-68.06,51.8,43,82,10.29
337,thai nguyen,21.59,105.84,84.2,83,80,6.93
338,mapiripan,2.89,-72.13,76.84,84,90,2.66
339,chuka,-0.33,37.65,61.84,90,100,3.18
340,khandyga,62.67,135.6,56.98,82,91,0.4
341,coos bay,43.37,-124.22,72.86,60,1,19.46
342,taunggyi,20.78,97.03,63.55,100,100,2.3
343,san matias,-16.37,-58.4,86.14,21,20,5.19
344,menemen,38.61,27.07,72.39,53,0,10.29
345,shahdadkot,27.85,67.91,87.67,48,8,6.24
346,saint-joseph,-21.37,55.62,59.14,88,90,3.36
347,zuwarah,32.93,12.08,81.88,60,14,10.71
348,alofi,-19.06,-169.92,77,50,19,18.34
349,sola,-13.88,167.55,78.78,79,17,22.1
351,kavieng,-2.57,150.8,84.4,76,38,12.84
352,goundam,16.41,-3.67,82.74,55,96,1.19
353,sinnamary,5.38,-52.95,78.64,84,46,7.92
354,gobabis,-22.45,18.97,55.96,38,34,4.83
355,victoria,48.43,-123.37,63.43,82,5,6.93
356,guilin,25.28,110.29,73.4,100,75,2.24
357,severo-kurilsk,50.68,156.12,54.32,79,100,4.47
358,pangnirtung,66.15,-65.71,44.56,58,0,3.31
359,cafarnaum,-11.69,-41.47,64.13,83,6,9.33
360,gallipoli,40.06,18,71.6,78,0,4.7
361,qianan,44.99,124.06,64.83,88,4,11.12
362,sibolga,1.74,98.78,77.22,69,81,4.97
363,poum,-20.23,164.02,72.52,72,39,11.77
364,japura,-0.32,102.35,73.54,93,100,2.53
365,yerbogachen,61.28,108.01,55.22,93,92,8.12
366,thio,-21.62,166.22,71.6,64,90,3.36
367,okmulgee,35.62,-95.96,89.6,52,40,9.17
368,ballina,-28.87,153.57,64.27,88,90,8.05
369,fengrun,39.83,118.12,73.54,64,41,4.14
370,buluang,13.31,123.34,85.21,74,80,2.73
371,reconquista,-29.15,-59.65,62.4,82,100,9.98
373,mpika,-11.83,31.45,54.14,69,0,11.43
374,tacuati,-23.45,-56.58,81.64,38,2,3.22
375,kununurra,-15.77,128.73,78.8,65,75,2.24
376,kavaratti,10.57,72.64,82.9,79,100,10.04
377,washington,47.5,-120.5,92.41,24,19,7
378,barra de sao francisco,-18.75,-40.89,68.11,82,22,4.07
379,wilhelmshaven,53.52,8.13,55,87,77,9.17
380,candolim,15.52,73.76,80.74,88,90,5.28
381,lallayug,17.71,121.44,81.25,78,60,2.55
383,monostorpalyi,47.4,21.78,59,93,8,3.36
384,flinders,-34.58,150.86,61.43,81,64,4
385,tianpeng,30.99,103.94,72.88,100,20,4.47
386,bystrice pod hostynem,49.4,17.67,62.85,87,100,2.82
387,seka,17.93,103.96,82.99,75,54,2.04
388,atambua,-9.11,124.89,78.93,46,49,4.52
389,denpasar,-8.65,115.22,78.8,100,75,4.7
391,lianzhou,24.78,112.38,80.04,82,78,0.96
392,beidao,34.57,105.89,63.41,72,0,1.34
393,codajas,-3.84,-62.06,85.68,46,83,1.99
394,maceio,-9.67,-35.74,73.4,83,0,4.7
395,aginskoye,51.1,114.53,56.21,79,99,4.23
397,slyudyanka,51.66,103.71,49.35,74,100,3.56
398,sao joao da barra,-21.64,-41.05,72.86,87,0,15.32
399,barretos,-20.56,-48.57,75.15,24,46,6.31
400,sioux lookout,50.1,-91.92,62.6,51,75,8.05
401,mudu,31.25,120.51,78.01,69,0,5.66
402,jumla,29.27,82.18,57.25,66,1,3.06
403,almeirim,-1.52,-52.58,81.73,56,65,2.62
404,hamilton,43.23,-79.95,60.85,82,75,4.7
405,la rioja,42.25,-2.5,66.2,63,90,8.05
406,constitucion,-35.33,-72.42,50.49,83,9,4.07
407,bilibino,68.05,166.44,44.56,56,0,4.27
408,alice springs,-23.7,133.88,71.89,18,0,9.17
410,dwarka,22.24,68.97,82.18,81,97,10.07
411,paka,4.64,103.44,75.11,94,40,9.6
412,nokaneng,-19.67,22.27,65.19,38,0,9.98
413,marquette,46.54,-87.4,63.75,43,18,1.01
414,coquimbo,-29.95,-71.34,55.4,76,0,8.05
415,ipu,-4.32,-40.71,77.05,40,39,1.01
416,minot,48.23,-101.3,83.55,23,1,14.99
417,campoverde,-8.48,-74.81,87.8,62,20,2.24
419,belle fourche,44.67,-103.85,88.02,35,1,5.82
420,galle,6.04,80.22,79.34,86,98,6.98
421,caluquembe,-13.78,14.68,57.33,59,2,1.57
422,altay,47.87,88.12,52.16,39,18,5.37
423,surt,31.21,16.59,76.84,83,0,11.27
424,dongobesh,-4.07,35.38,52.32,96,26,6.17
425,najran,17.49,44.13,77,27,0,2.35
426,tual,-5.67,132.75,80.08,81,56,20.29
427,tromso,69.65,18.96,50,81,90,12.75
428,tessalit,20.2,1.01,90.12,38,59,8.79
429,arequipa,-16.4,-71.53,57.6,34,7,1.7
430,bilma,18.69,12.92,93.96,20,22,7.94
432,palanpur,24.17,72.43,78.58,81,3,2.3
433,kushikino,31.72,130.27,73.4,94,75,12.75
434,weihe,33.0,105.32,61.48,76,48,6.22
436,port keats,-14.25,129.55,83.16,61,75,4.07
437,saint-georges,46.62,-72.66,60.4,59,75,6.93
438,starkville,33.45,-88.82,81.72,61,1,3.36
439,kang,-23.68,22.79,66.54,37,32,14.54
441,bonthe,7.53,-12.51,75.9,86,97,5.99
442,chapais,49.78,-74.85,50,93,75,5.82
443,albanel,48.88,-72.45,53.6,87,75,5.82
444,amursk,50.23,136.9,65.07,78,100,8.57
447,indianola,41.36,-93.56,85.35,31,20,9.17
448,hailar,49.2,119.7,56.39,84,10,3.31
449,nemuro,43.32,145.57,65.41,94,79,7.78
450,udachnyy,66.42,112.4,42.8,87,75,6.71
451,santa isabel do rio negro,-0.41,-65.02,78.66,75,79,1.66
452,cuenca,-2.88,-78.98,59,67,93,9.17
453,biloela,-24.42,150.5,75.09,50,57,7.54
454,mauganj,24.68,81.88,77.74,86,16,5.53
455,terbuny,52.14,38.28,57.56,59,67,7.45
456,teguise,29.06,-13.56,73.4,78,20,8.05
457,normandin,48.83,-72.53,53.6,87,75,5.82
458,batavia,41.85,-88.31,75.85,36,1,5.82
459,vila velha,-20.33,-40.29,73.18,83,0,5.82
460,tuatapere,-46.13,167.68,45,72,85,11.01
461,ulladulla,-35.35,150.47,56.03,71,90,6.93
462,udomlya,57.88,34.99,55.47,96,92,5.61
463,klichka,50.45,118,55.56,82,0,3.02
468,palagiano,40.58,17.04,72.37,65,0,1.95
469,bunia,1.57,30.25,63.93,87,97,1.16
470,waddan,29.16,16.14,75.31,53,0,10.4
471,parys,-26.9,27.46,58.17,47,11,6.04
472,nigde,37.97,34.68,57.6,76,0,0.4
473,asau,46.43,26.4,55.99,91,0,4.03
474,finschhafen,-6.6,147.87,80.92,75,94,6.46
475,abadan,30.34,48.3,89.6,84,0,11.41
476,corn island,12.17,-83.04,84.11,72,9,8.39
477,la ronge,55.1,-105.28,57.2,87,90,2.24
478,dzilam gonzalez,21.28,-88.93,79.97,87,86,9.53
479,nishihara,26.18,127.76,78.8,100,90,28.86
480,berbera,10.44,45.01,88.74,55,0,2.19
481,ust-nera,64.57,143.2,53.69,55,100,4.68
482,xuddur,4.12,43.89,70.48,73,3,14.97
483,ha tinh,18.33,105.9,82.27,77,46,3.38
484,znamenskoye,57.13,73.83,44.62,86,100,8.12
485,ajaccio,41.92,8.73,64.4,72,0,6.93
486,yueyang,29.33,113.09,75.43,78,81,3.36
487,melnikovo,56.56,84.08,46.99,89,100,9.22
489,baghdad,33.34,44.4,82.4,34,0,5.82
490,maxixe,-23.86,35.35,67.68,67,86,8.97
491,savelugu,9.62,-0.83,71.31,97,82,1.86
492,bambanglipuro,-7.95,110.28,77.23,78,64,5.53
493,fort myers beach,26.45,-81.95,84.02,83,75,3.36
494,slavyanka,42.86,131.38,68.67,77,97,2.04
496,mattoon,39.48,-88.37,80.24,51,1,5.82
497,mundo nuevo,18.7,-95.5,81.09,85,90,16.31
498,ingham,-18.65,146.17,74.53,63,29,8.1
499,atar,20.52,-13.05,86.56,48,70,6.67
500,labuan,-6.38,105.83,77.4,81,58,9.17
501,gariaband,20.64,82.06,75.51,87,59,1.99
502,parabel,58.7,81.48,43.86,98,100,3.85
503,bure,10.7,37.07,55.89,91,51,1.05
504,qasigiannguit,68.82,-51.19,39.2,77,100,3.36
506,chimbote,-9.09,-78.58,60.87,83,51,8.48
507,leningradskiy,69.38,178.42,41.4,70,25,9.57
508,porirua,-41.13,174.85,57.31,85,100,20
509,estrela,-28.06,-50.94,59.22,95,59,4
510,xichang,27.9,102.26,63.41,82,100,1.52
511,tomatlan,19.93,-105.25,80.71,81,100,4.47
513,sete lagoas,-19.47,-44.25,72.16,40,3,11.41
514,trairi,-3.28,-39.27,77.85,76,31,13.56
515,ambon,-3.7,128.18,78.91,88,40,5.82
516,bekkevoort,50.93,4.97,50.68,81,24,5.82
517,bundaberg,-24.85,152.35,72.27,82,85,5.82
518,hun,29.13,15.95,74.79,56,0,6.64
519,birmitrapur,22.4,84.77,77.18,86,81,1.81
520,omboue,-1.57,9.26,72.93,82,45,7.05
521,carauari,-4.88,-66.9,78.12,78,46,0.92
522,mujiayingzi,42.12,118.78,67.48,54,56,3.96
523,borgo san dalmazzo,44.33,7.49,64.54,93,0,3.36
525,louis trichardt,-23.04,29.9,52.05,77,0,4.27
526,lujan,-34.57,-59.1,53.46,69,0,4
527,salmon creek,45.71,-122.65,73.94,43,1,6.93
528,warrington,53.39,-2.58,54.73,82,20,5.82
529,vao,-22.67,167.48,70.05,72,17,18.68
530,vardo,70.37,31.11,53.19,91,86,13.78
531,brunico,46.8,11.94,53.76,92,68,1.59
532,goderich,43.75,-81.72,62.01,81,68,9.8
533,san jose,37.34,-121.89,98.96,17,20,8.05
534,oranjemund,-28.55,16.43,56.43,85,41,18.34
535,hendrina,-26.16,29.72,50,87,0,5.28
536,souillac,-20.52,57.52,68,94,40,4.7
538,lock haven,41.14,-77.45,69.22,40,75,4.7
539,hohhot,40.81,111.65,60.8,82,40,4.47
540,show low,34.25,-110.03,86.07,14,1,11.41
543,cariati,39.49,16.96,64.99,67,0,1.01
544,boca do acre,-8.75,-67.4,85.73,47,64,1.41
545,quelimane,-17.88,36.89,68,88,40,2.24
547,eregli,37.51,34.05,58.73,70,0,4.36
549,achit,56.8,57.9,44.76,94,0,4.92
551,port washington,40.83,-73.7,72.39,61,28,1.01
552,cedar city,37.68,-113.06,96.8,3,1,5.82
553,maputo,-25.97,32.59,62.31,82,40,3.36
554,nouadhibou,20.93,-17.03,84.2,62,20,24.16
555,tautira,-17.73,-149.15,84.2,70,40,16.11
556,port hedland,-20.32,118.57,66.2,59,88,4.09
557,saryg-sep,51.5,95.6,40.01,74,0,3.29
559,ola,59.58,151.28,48.83,84,100,10.04
560,barsovo,61.17,73.17,44.6,100,75,11.18
561,ormond beach,29.29,-81.06,85.75,79,75,6.93
562,nesna,66.2,13.02,52.03,87,100,6.55
563,tucupita,9.06,-62.05,77.11,90,1,3.13
564,ishigaki,24.34,124.16,80.6,88,75,12.75
565,lisakovsk,52.54,62.49,43.72,82,0,6.64
566,namatanai,-3.67,152.43,84.88,66,92,6.98
567,simao,22.79,100.97,66.29,91,100,1.07
568,hasaki,35.73,140.83,79.27,88,40,12.75
